Staffel,Teilnehmerin,Platz,Alter,Größe,Haarfarbe,Augenfarbe,Hautfarbe,Bust,Waist,Hips,Dress,Shoes
5,Viktoria Lantratova ,8,22,178,,,,,,,,
5,Jacqueline Kohl ,9,16,180,,,,,,,,
5,Wioleta Psiuk ,10,18,179,,,,,,,,
5,Miriam Höller ,11,22,183,,,,,,,,
5,Nadine Höcherl ,12,18,180,,,,,,,,
5,Catherine Kropp ,12,17,180,,,,,,,,
5,Luisa Krüger ,14,18,176,,,,,,,,
5,Lara Emsen ,15,16,180,,,,,,,,
5,Petra Roscheck ,16,25,179,,,,,,,,
5,Lena Kaiser ,16,17,177,,,,,,,,
5,Aline Kautz,18,16,180,,,,,,,,
6,Jana Beller ,1,20,173,,,,,,,,
6,Rebecca Mir ,2,19,178,,,,,,,,
6,Amelie Klever ,3,16,173,,,,,,,,
6,Anna-Lena Schubert ,4,20,176,,,,,,,,
6,Aleksandra Nagel ,4,21,172,,,,,,,,
6,Sihe Jiang ,6,18,171,,,,,,,,
6,Lisa-Maria Könnecke ,7,16,178,,,,,,,,
6,Marie-Luise Schäfer ,8,21,173,,,,,,,,
6,Jil Goetz ,9,16,174,,,,,,,,
6,Joana Damek,10,20,172,,,,,,,,
6,Sarah Jülich ,11,19,178,,,,,,,,
6,Isabel Rath ,11,23,180,,,,,,,,
6,Florence Lodevic ,13,22,176,,,,,,,,
6,Paulina Kaluza ,14,18,173,,,,,,,,
6,Natascha Beil ,14,20,173,,,,,,,,
6,Tahnee Keller ,16,20,179,,,,,,,,
6,Simone Rohrmüller ,17,18,174,,,,,,,,
6,Franziska König ,18,18,177,,,,,,,,
6,Amira Regaieg ,19,20,174,,,,,,,,
6,Christien Fleischhauer ,20,22,173,,,,,,,,
6,Ivon Zito ,21,18,177,,,,,,,,
6,Concetta Mazza ,22,18,171,,,,,,,,
6,Valerie Blum,23,20,176,,,,,,,,
6,Lilia Doubrovina ,24,16,174,,,,,,,,
6,Chiara Isabell Breder ,24,16,173,,,,,,,,
7,Luisa Hartema ,1,17,178,,,,,,,,
7,Sarah-Anessa Hitzschke**,2,18,178,,,,,,,,
7,Dominique Miller ,3,21,175,,,,,,,,
7,Katarzyna „Kasia“ Lenhardt ,4,16,173,,,,,,,,
7,Sara Kulka ,5,21,174,,,,,,,,
7,Evelyn Keck,6,18,178,,,,,,,,
7,Diana Owtschinnikow,7,17,174,,,,,,,,
7,Lisa Volz ,8,20,173,,,,,,,,
7,Inga Bobkow ,9,17,173,,,,,,,,
7,Laura Scharnagl ,10,17,176,,,,,,,,
7,Shawny Mittag ,11,17,172,,,,,,,,
7,Melek Civantürk,12,20,175,,,,,,,,
7,Annabelle Rieß ,13,23,175,,,,,,,,
7,Jasmin Abraha ,14,17,177,,,,,,,,
7,Maxi Böttcher ,15,17,172,,,,,,,,
7,Natalia Kowalczykowska ,16,20,177,,,,,,,,
7,Michelle Luise Lafleur ,16,17,171,,,,,,,,
7,Anelia Moor ,18,19,174,,,,,,,,
7,Valerie-Charlotte Kirchner von Schröder ,19,19,175,,,,,,,,
7,Franziska Poehling ,19,18,177,,,,,,,,
7,Sabine Snobl ,19,19,183,,,,,,,,
7,Isabell Janku ,19,16,175,,,,,,,,
8,Lovelyn Enebechi ,1,16,178,,,,,,,,
8,Maike van Grieken ,2,19,176,,,,,,,,
8,Luise Will ,3,18,183,,,,,,,,
8,Sabrina Elsner ,4,21,177,,,,,,,,
8,Anna Maria Damm ,5,16,176,,,,,,,,
8,Marie Czuczman ,6,16,183,,,,,,,,
8,Christine Gischler ,7,16,179,,,,,,,,
8,Carolin Sünderhauf ,8,20,178,,,,,,,,
8,Leonie Marwitz ,9,16,176,,,,,,,,
8,Jacqueline Thießen ,10,17,176,,,,,,,,
8,Veronika Weddeling ,11,23,179,,,,,,,,
8,Janna Wiese ,12,19,176,,,,,,,,
8,Jessika Weidner ,13,16,178,,,,,,,,
8,Anna-Barbara Seebrecht ,14,17,176,,,,,,,,
8,Sophie,15,23,176,,,,,,,,
8,Leandra Martin ,16,18,182,,,,,,,,
8,Bingyang Liu,17,18,180,,,,,,,,
8,Höpke Voß,17,19,176,,,,,,,,
8,Michelle Maas ,19,16,180,,,,,,,,
8,Lisa-Giulia Wende ,20,17,176,,,,,,,,
9,Stefanie Giesinger ,1,17,178,,,,,,,,
9,Jolina Fust ,2,17,180,,,,,,,,
9,Ivana Teklic ,3,18,178,,,,,,,,
9,Betty Taube ,4,18,176,,,,,,,,
9,Aminata Sanogo,4,18,178,,,,,,,,
9,Nathalie Volk ,4,16,175,,,,,,,,
9,Karlin Ivana Obiango ,7,17,176,,,,,,,,
9,Nancy Nagel ,7,21,178,,,,,,,,
9,Samantha Brock ,9,17,179,,,,,,,,
9,Anna Wilken,10,17,181,,,,,,,,
9,Sarah Weinfurter ,11,16,176,,,,,,,,
9,Lisa Gelbrich ,12,17,176,,,,,,,,
9,Sainabou Sosseh ,13,16,177,,,,,,,,
9,Jana Heinisch ,14,19,176,,,,,,,,
9,Simona Hartl ,14,17,176,,,,,,,,
9,Antonia Balzer ,16,16,176,,,,,,,,
9,Emma Kahlert ,17,16,176,,,,,,,,
9,Laura Kristen ,18,18,176,,,,,,,,
9,Franziska Wimmer ,19,17,184,,,,,,,,
9,Pauline Cottin,20,18,178,,,,,,,,
9,Laura Haas,20,19,176,,,,,,,,
9,Ina Bartak,20,21,176,,,,,,,,
9,Fata Hasanovic,20,18,176,,,,,,,,
9,Lisa Seibert ,24,18,178,,,,,,,,
9,Jill Schmitz ,24,22,,,,,,,,,
10,Vanessa Fuchs ,1,18,178,,,,,,,,
10,Anuthida Ploypetch ,2,17,175,,,,,,,,
10,Ajsa Selimovic ,3,18,175,,,,,,,,
10,Katharina Wandrowsky ,4,18,178,,,,,,,,
10,Darya Strelnikova ,5,21,173,,,,,,,,
10,Lisa Bärmann ,6,19,176,,,,,,,,
10,Jülide „Jüli“ Ürküt ,6,16,175,,,,,,,,
10,Chiara „Kiki“ Hölzl ,8,17,179,,,,,,,,
10,Sara Faste ,9,16,178,,,,,,,,
10,Laura Dünninger ,9,17,180,,,,,,,,
10,Varisa Caluk ,11,16,185,,,,,,,,
10,Sandy Provázek ,11,19,174,,,,,,,,
10,Érica Santos Silva ,13,21,175,,,,,,,,
10,Neele Busse ,14,18,177,,,,,,,,
10,Irene Pichler ,14,20,176,,,,,,,,
10,Daniela Wolking ,16,22,187,,,,,,,,
10,Lena Stockhausen ,16,18,182,,,,,,,,
10,Jovana Bulic ,16,18,186,,,,,,,,
10,Adriane Sutsch ,19,19,178,,,,,,,,
10,Ariana Xhatova ,20,18,179,,,,,,,,
10,Laura Weidner ,20,17,,,,,,,,,
10,Annabel Paasch,22,16,183,,,,,,,,
10,Sarah Kocar,22,17,173,,,,,,,,
11,Kim Hnizdo ,1,19,175,,,,,,,,
11,Elena Carrière ,2,19,177,,,,,,,,
11,Fata Hasanovic,3,20,176,,,,,,,,
11,Jasmin Lekudere ,4,20,177,,,,,,,,
11,Taynara Joy Silva Wolf ,5,19,174,,,,,,,,
11,Lara Helmer ,6,20,176,,,,,,,,
11,Elena Kilb ,7,19,180,,,,,,,,
11,Luana Genevieve Florea ,8,20,178,,,,,,,,
11,Laura Bleicher ,9,19,180,,,,,,,,
11,Laura Franziska Blank ,10,21,178,,,,,,,,
11,Julia Wulf,11,20,176,,,,,,,,
11,Camilla Cavalli ,12,18,179,,,,,,,,
11,Lara-Kristin Bayer ,13,17,180,,,,,,,,
11,Yusra Babekr-Ali ,14,18,174,,,,,,,,
11,Christin Götzke ,14,18,176,,,,,,,,
11,Laura Bräutigam ,16,16,175,,,,,,,,
11,Jennifer Daschner ,16,17,176,,,,,,,,
11,Cindy Unger ,18,21,176,,,,,,,,
11,Shirin Kelly ,19,24,174,,,,,,,,
11,Sophie Schweer ,19,20,176,,,,,,,,
11,Saskia Böhlcke ,21,18,174,,,,,,,,
11,Laura Penelope Baumgärtner,21,19,171,,,,,,,,
11,Friederike „Fred“ Riss ,21,17,175,,,,,,,,
11,Luisa Bolghiran,24,19,,,,,,,,,
12,Céline Bethmann ,1,18,181,,,,,,,,
12,Serlina Hohmann,2,22,178,,,,,,,,
12,Romina Brennecke ,3,20,183,,,,,,,,
12,Leticia Wala-Ntumba,4,18,176,,,,,,,,
12,Maja Manczak ,5,19,180,,,,,,,,
12,Lynn Petertonkoker ,5,18,179,,,,,,,,
12,Carina Zavline ,7,19,174,,,,,,,,
12,Anh-Phuong Dinh Phan,8,25,176,,,,,,,,
12,Sabine Fischer ,9,23,176,,,,,,,,
12,Brenda Hübscher ,10,23,184,,,,,,,,
12,Giuliana Radermacher ,11,20,178,,,,,,,,
12,Soraya Eckes ,12,17,,,,,,,,,
12,Julia Steyns ,13,23,180,,,,,,,,
12,Greta Faeser,14,21,177,,,,,,,,
12,Julia Fux ,15,20,177,,,,,,,,
12,Neele Bronst ,16,20,176,,,,,,,,
12,Melina Budde ,17,19,181,,,,,,,,
12,Deborah Lay ,18,21,177,,,,,,,,
12,Aissatou Niang,19,18,174,,,,,,,,
12,Helena Fritz,20,18,180,,,,,,,,
12,Kimberly Pereira ,21,18,,,,,,,,,
12,Chaline Bang ,21,16,,,,,,,,,
12,Milena Ziller ,21,18,,,,,,,,,
12,Claudia Fiedler,24,22,,,,,,,,,
12,Victoria Wanke ,25,16,182,,,,,,,,
12,Elisa Weihmann ,25,16,,,,,,,,,
12,Saskia Mächler ,27,19,,,,,,,,,
12,Christina Wiessner ,,19,,,,,,,,,
13,Toni Dreher-Adenuga ,1,17,,,,,,,,,
13,Julianna Townsend ,2,19,,,,,,,,,
13,Pia Riegel ,3,22,,,,,,,,,
13,Christina Peno ,4,21,180,,,,,,,,
13,Jennifer Michalcyzk ,5,23,,,,,,,,,
13,Sally Haas ,6,17,183,,,,,,,,
13,Sara Leutenegger,7,23,178,,,,,,,,
13,Klaudia Giez,,21,,,,,,,,,
13,Trixi Giese ,9,18,,,,,,,,,
13,Zoe Saip ,10,18,,,,,,,,,
13,Victoria Pavlas ,11,19,180,,,,,,,,
13,Bruna Rodrigues ,,24,,,,,,,,,
13,Abigail Odoom ,13,20,,,,,,,,,
13,Shari Streich,14,23,,,,,,,,,
13,Stephanie „Steffi“ Groll ,15,19,,,,,,,,,
13,Anne Volkmann ,16,23,,,,,,,,,
13,Gerda Lewis,17,25,,,,,,,,,
13,Sarah Amiri ,18,18,,,,,,,,,
13,Isabella Özdemir ,19,22,,,,,,,,,
13,Franziska Schwager ,,21,,,,,,,,,
13,Karoline Seul,21,19,,,,,,,,,
13,Cindy Valèrie Wersche ,22,23,,,,,,,,,
13,Elisabeth „Lis“ Kanzler ,,22,,,,,,,,,
13,Julia Freimuth ,24,17,,,,,,,,,
13,Liane Polt,25,17,,,,,,,,,
13,Lania Barzanji ,26,21,,,,,,,,,
13,Viktoria Wendell ,,21,,,,,,,,,
13,Ivana Rajic-Hrnjic,,22,,,,,,,,,
13,Selma Toroy,29,24,,,,,,,,,
